"","newstitle","newscategory"
"1","돈 쏟아붓는 中..1분기 지방채 발행 325조원 넘을듯","국제"
"2","심의보 충북교육감후보 수월성교육강화..자율형공립고 검토","정치"
"3","구글 인앱결제 강제에 OTT '가격 인상' 시작","IT"
"4","국회 정개특위, 중·대선거구제 상정..소위서 다시 논의키로","정치"
"5","'이 자세'에 혈압 높으면 심혈관질환 위험 ↑ (연구)","문화"
"6","BBC 키이우 인근서 우크라이나군이 러시아군 포위","국제"
"7","봉쇄 첫날 중국 선양시 인적 끊기고 도로 한산[르포]","국제"
"8","현행 자치경찰제도는 대국민 사기극이다","정치"
"9","EU 조심스러운 이유, 대러 에너지 의존도 때문.. 친원전 힘 받을 수도","경제"
"10","쓰러지는 간호사·전파 의심받는 요양보호사..의료·돌봄 인력 대책 세워야","사회"
"11","러시아군 드론 공격 막아달라 호소했지만..세계 시장 독점 中 DJI 불가능 거부","국제"
"12","국방장관 직위해제·정보관리들 가택연금·특사 사임..러 내부 분열 가속화","국제"
"13","EU, 천연가스 안정화 시동..에너지업계 부담 줄어드나","경제"
"14","곡물값 이어 비료값도 폭등..내년 식량 상황 더 걱정","국제"
"15","망 이용대가 외면한 빅테크 이기주의..넷플릭스법 필요[일문일답]","IT"
"16","확진자 천만에 다시 시작된 '집콕'..여의도역 승객 70%↓ 종로 주차장 파리만","사회"
"17","한은 청년층·자영업자 취약차주 부실위험 더 커져[금융보고서]","경제"
"18","러시아가 또..나토가 우리 위협하면 핵 버튼 누를 권리 있어","국제"
"19","교대차 남수단 도착한 한빛부대 코로나19 확진 27명으로 늘어","정치"
"20","믹스커피 한 잔 합시다.. 이틀째 '프레스다방' 찾은 尹 당선인","정치"
