"","unlist.company.","unlist.industry.","unlist.TPoint."
"1","삼성전자(주)","제조/화학","3.7"
"2","LG전자(주)","제조/화학","3.1"
"3","쿠팡(주)","유통/무역/운송","3.1"
"4","(주)에스씨케이컴퍼니","서비스업","3.3"
"5","엘지디스플레이(주)","제조/화학","3.1"
"6","현대자동차(주)","제조/화학","3.8"
"7","씨제이올리브영(주)","유통/무역/운송","3.2"
"8","해커스 교육그룹","교육업","2.2"
"9","한국맥도날드(유)","서비스업","3.3"
"10","에프알엘코리아(주)","유통/무역/운송","3.0"
"11","엘지이노텍(주)","제조/화학","3.4"
"12","CJ제일제당(주)","제조/화학","2.9"
"13","(주)한샘","유통/무역/운송","2.4"
"14","씨제이씨지브이(주)","미디어/디자인","3.5"
"15","롯데리아 (매장)","서비스업","3.3"
"16","(주)이마트","유통/무역/운송","3.4"
"17","한국전력공사","제조/화학","3.9"
"18","홈플러스(주)","유통/무역/운송","2.9"
"19","(주)티몬","IT/웹/통신","2.8"
"20","국민건강보험공단","은행/금융업","3.9"
"21","(주)위메프","IT/웹/통신","2.6"
"22","한국철도공사","유통/무역/운송","3.4"
"23","(주)LG화학","제조/화학","3.5"
"24","현대중공업(주)","제조/화학","2.9"
"25","삼성에스디에스(주)","IT/웹/통신","3.5"
"26","롯데시네마 (매장)","미디어/디자인","3.4"
"27","(주)엘지씨엔에스","IT/웹/통신","3.1"
"28","(주)엘지유플러스","IT/웹/통신","3.2"
"29","에스케이하이닉스(주)","제조/화학","3.5"
"30","(주)동화세상에듀코","교육업","2.9"
"31","(주)케이티","IT/웹/통신","3.1"
"32","(주)지에스리테일","유통/무역/운송","2.9"
"33","삼성중공업(주)","제조/화학","2.8"
"34","한국토지주택공사","건설업","3.7"
"35","새마을금고","은행/금융업","2.3"
"36","(주)아모레퍼시픽","제조/화학","3.5"
"37","(주)하나투어","서비스업","3.0"
"38","근로복지공단","은행/금융업","3.3"
"39","(주)유베이스","서비스업","2.6"
"40","대한무역투자진흥공사","기관/협회","3.6"
"41","(주)트랜스코스모스코리아","서비스업","2.6"
"42","포스코(주)","제조/화학","3.4"
"43","네이버(주)","IT/웹/통신","3.9"
"44","씨제이이앤엠(주)","미디어/디자인","3.2"
"45","삼성에스디아이(주)","제조/화학","3.3"
"46","앰코테크놀로지코리아(주)","제조/화학","2.7"
"47","케이씨씨(주)","제조/화학","2.6"
"48","(주)에스티유니타스","교육업","2.5"
"49","(주)이랜드월드","제조/화학","2.6"
"50","농협은행(주)","은행/금융업","3.6"
"51","삼일회계법인","기관/협회","3.3"
"52","대우조선해양(주)","제조/화학","3.1"
"53","중소기업은행","은행/금융업","3.8"
"54","씨제이대한통운(주)","유통/무역/운송","2.8"
"55","비지에프리테일(주)","유통/무역/운송","3.0"
"56","현대카드(주)","은행/금융업","3.0"
"57","(주)세스코","서비스업","2.9"
"58","(주)커피빈코리아","서비스업","2.8"
"59","배스킨라빈스 (매장)","제조/화학","3.5"
"60","(주)에스텍시스템","서비스업","2.5"
"61","한미약품(주)","의료/제약/복지","2.9"
"62","(주)현대백화점","유통/무역/운송","3.2"
"63","(주)아워홈","서비스업","2.7"
"64","(주)대웅제약","의료/제약/복지","2.6"
"65","롯데정보통신(주)","IT/웹/통신","2.7"
"66","(주)코리아세븐","유통/무역/운송","2.4"
"67","삼성전기(주)","제조/화학","3.3"
"68","(주)유니에스","서비스업","2.5"
"69","(주)더존비즈온","IT/웹/통신","2.4"
"70","씨제이푸드빌(주)","서비스업","2.8"
"71","한미약품(주)","의료/제약/복지","2.9"
"72","(주)현대백화점","유통/무역/운송","3.2"
"73","(주)아워홈","서비스업","2.7"
"74","(주)대웅제약","의료/제약/복지","2.6"
"75","롯데정보통신(주)","IT/웹/통신","2.7"
"76","(주)코리아세븐","유통/무역/운송","2.4"
"77","삼성전기(주)","제조/화학","3.3"
"78","(주)유니에스","서비스업","2.5"
"79","(주)더존비즈온","IT/웹/통신","2.4"
"80","씨제이푸드빌(주)","서비스업","2.8"
"81","(주)에스케이쉴더스","서비스업","2.7"
"82","현대모비스(주)","제조/화학","3.5"
"83","오스템임플란트(주)","제조/화학","2.6"
"84","한전KPS(주)","건설업","3.9"
"85","현대제철(주)","제조/화학","2.9"
"86","(주)카카오","IT/웹/통신","3.8"
"87","(주)호텔신라","서비스업","3.0"
"88","두산중공업(주)","제조/화학","3.3"
"89","(주)이랜드리테일","유통/무역/운송","2.5"
"90","현대엔지니어링(주)","건설업","3.5"
"91","한영회계법인","기관/협회","3.1"
"92","(주)대한항공","유통/무역/운송","3.1"
"93","빕스 (매장)","서비스업","3.3"
"94","에듀윌(주)","교육업","3.9"
"95","에스케이플래닛(주)","IT/웹/통신","3.5"
"96","(주)엔씨소프트","IT/웹/통신","3.6"
"97","(주)엘지생활건강","제조/화학","3.3"
"98","기아(주)","제조/화학","4.0"
"99","롯데쇼핑(주) 롯데마트사업본부","유통/무역/운송","2.6"
"100","한국수력원자력(주)","제조/화학","4.0"
"101","안진회계법인","기관/협회","3.3"
"102","삼정회계법인","기관/협회","3.3"
"103","현대캐피탈(주)","은행/금융업","3.1"
"104","케이티씨에스(주)","IT/웹/통신","2.7"
"105","삼성에버랜드(주)","유통/무역/운송","3.7"
"106","삼성디스플레이(주)","제조/화학","3.4"
"107","국민연금공단","은행/금융업","3.9"
"108","효성아이티엑스(주)","IT/웹/통신","2.8"
"109","자라리테일코리아(주)","유통/무역/운송","2.8"
"110","카페24(주)","IT/웹/통신","3.4"
"111","씨제이올리브네트웍스(주)","IT/웹/통신","2.9"
"112","(주)바디프랜드","제조/화학","3.0"
"113","(주)종근당","의료/제약/복지","2.8"
"114","(주)동원에프앤비","제조/화학","2.4"
"115","(주)와이지-원","제조/화학","1.8"
"116","국민은행(주)","은행/금융업","3.7"
"117","(주)비케이알","서비스업","2.8"
"118","SK텔레콤(주)","IT/웹/통신","4.0"
"119","(유)스태츠칩팩코리아","제조/화학","2.5"
"120","삼성생명보험(주)","은행/금융업","2.9"
"121","씨제이올리브네트웍스(주)","IT/웹/통신","2.9"
"122","(주)바디프랜드","제조/화학","3.0"
"123","(주)종근당","의료/제약/복지","2.8"
"124","(주)동원에프앤비","제조/화학","2.4"
"125","(주)와이지-원","제조/화학","1.8"
"126","국민은행(주)","은행/금융업","3.7"
"127","(주)비케이알","서비스업","2.8"
"128","SK텔레콤(주)","IT/웹/통신","4.0"
"129","(유)스태츠칩팩코리아","제조/화학","2.5"
"130","삼성생명보험(주)","은행/금융업","2.9"
"131","현대건설(주)","건설업","3.4"
"132","(주)인터파크","유통/무역/운송","2.6"
"133","(주)교원","서비스업","2.8"
"134","(주)유라코퍼레이션","제조/화학","2.7"
"135","요기요","IT/웹/통신","3.0"
"136","아웃백스테이크하우스코리아(유)","서비스업","3.2"
"137","지마켓글로벌유한책임회사","유통/무역/운송","3.7"
"138","(주)넥슨코리아","IT/웹/통신","3.7"
"139","(주)안랩","IT/웹/통신","3.5"
"140","삼성엔지니어링(주)","제조/화학","3.1"
"141","(주)사람인에이치알","IT/웹/통신","3.0"
"142","(주)문화방송","미디어/디자인","3.1"
"143","신한은행(주)","은행/금융업","3.3"
"144","(주)야놀자","IT/웹/통신","2.8"
"145","한국콜마(주)","제조/화학","2.6"
"146","한국아이비엠(주)","IT/웹/통신","3.1"
"147","(주)에스원","서비스업","2.8"
"148","(주)아성다이소","유통/무역/운송","2.6"
"149","한국과학기술연구원","기관/협회","3.7"
"150","(주)웅진씽크빅","미디어/디자인","3.1"
"151","세아상역(주)","제조/화학","3.0"
"152","(주)LF","제조/화학","3.1"
