"","기업명","본사주소","직원수","2020년매출액(천원)","입사율(연간 입사자)","퇴사율(연간 퇴사자"
"1","비츠로밀텍","충남 천안시 동남구 풍세면 풍세산단로 58","70명 이상 ~ 100명 미만","16,070,636","49.28 % (34 명)","40.58 % (28 명)"
"2","밸러스","서울 서초구 효령로 23, 4층","1명 이상 ~ 20명 미만",NA,"0.00 % (0 명)","20.00 % (1 명)"
"3","살다","경기 용인시 기흥구 동백중앙로 191, 나동 8층 850호",NA,NA,NA,NA
"4","큐픽스","경기 평택시 서탄면 수월암5길 75, 2층",NA,NA,NA,NA
"5","케이에스에스해운","서울 종로구 인사동길 12, 8층","200명 이상 ~ 400명 미만","225,806,307","13.95 % (6 명)","16.28 % (7 명)"
"6","(사)금융보안원","경기 용인시 수지구 대지로 132","200명 이상 ~ 400명 미만",NA,"13.08 % (34 명)","9.23 % (24 명)"
"7","핫셀러","서울 동대문구 장한로 6, 305호","70명 이상 ~ 100명 미만",NA,"191.18 % (65 명)","85.29 % (29 명)"
"8","애터미","충남 공주시 백제문화로 2148-21","200명 이상 ~ 400명 미만","972,487,037","24.19 % (52 명)","12.09 % (26 명)"
"9","페이스북코리아","서울 강남구 테헤란로 142","70명 이상 ~ 100명 미만","44,266,186","15.00 % (12 명)","16.25 % (13 명)"
"10","한국어도비시스템즈","서울 강남구 테헤란로 521, 19층","70명 이상 ~ 100명 미만","100억원 ~ 500억원","28.42 % (27 명)","26.32 % (25 명)"
"11","라이엇게임즈코리아","서울 강남구 테헤란로 521, 30층","100명 이상 ~ 200명 미만","374,629,000","20.83 % (25 명)","15.00 % (18 명)"
"12","데이블",NA,NA,NA,NA,NA
"13","센드버드코리아","서울 강남구 선릉로 514, 16층, 17층","100명 이상 ~ 200명 미만","17,098,042","54.81 % (74 명)","25.93 % (35 명)"
"14","유니티테크놀로지스코리아","서울 강남구 테헤란로 129, 21층","100명 이상 ~ 200명 미만",NA,"38.20 % (34 명)","13.48 % (12 명)"
"15","익스피디아코리아","서울 종로구 종로5길 7","20명 이상 ~ 40명 미만",NA,"17.50 % (7 명)","22.50 % (9 명)"
"16","구글코리아","서울 강남구 테헤란로 152, 22층","400명 이상 ~ 700명 미만","220,143,330","60.76 % (257 명)","22.22 % (94 명)"
