"","기업명","모집내용","지원자격","근무조건/근무지역","마감일/등록일"
"1","모바일리더
모바일리더그룹","모바일리더·인지소프트 공채 16기 상반기 신입사원 채용
기술지원앱개발웹개발유지보수퍼블리셔 외","신입
대학(2,3년)↑","정규직
서울 강남구","입사지원
내일마감
(11일 전 등록)"
"2","오텍오티스파킹시스템
오텍그룹","오텍오티스파킹시스템 채용(기술연구소, 기획사업부, 수도권사업부)
기술지원데이터분석가데이터엔지니어ICT컨설팅네트워크 외","경력
대학(2,3년)↑","정규직
서울 영등포구","입사지원
~ 04/08(금)
(9일 전 등록)"
"3","헤븐트리","[글로벌 PPM 솔루션 전문기업] 2022년 대규모 공개채용
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","신입 · 경력
학력무관","정규직
대구 수성구","입사지원
~ 05/01(일)
(5일 전 등록)"
"4","주식회사 핌아시아","[핌아시아 떠리몰] 이커머스 개발자 주임/대리/과장 채용
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외
","경력 1년↑
학력무관","정규직
서울 강남구","입사지원
~ 05/30(월)
(3일 전 등록)"
"5","오픈메이트","[오픈메이트] 플랫폼사업본부 신입/경력 인재모집
데이터분석가백엔드/서버개발웹개발정보보안퍼블리셔 외","경력무관
학력무관","정규직
서울 서대문구","입사지원
~ 04/15(금)
(2일 전 등록)"
"6","캐플릭스","[주 4일제 근무] 캐플릭스(제주패스) 부문별 경력 / 신입 채용
백엔드/서버개발웹개발퍼블리셔프론트엔드DBA 외
","신입 · 경력
학력무관","정규직
제주 제주시","홈페이지 지원
~ 04/30(토)
(52일 전 등록)"
"7","왈도시스템","통신 엔지니어 신입 채용
기술지원유지보수네트워크통신설계통신공사","신입
고졸↑","정규직
서울 강서구","입사지원
~ 04/08(금)
(26일 전 등록)"
"8","디아이티","AI기반 영상처리 SW/비전SW/광학/PC제어/기구설계/영업/QC 채용
앱개발딥러닝머신러닝미들웨어빅데이터 외","신입 · 경력
대학교(4년)↑","정규직
경기 수원시 영통구","입사지원
~ 04/12(화)
(20일 전 등록)"
"9","코비젼","(주)코비젼 각 부문 경력/신입 채용
기술지원데이터분석가백엔드/서버개발앱개발웹개발 외","신입 · 경력
학력무관","정규직
서울 강서구","입사지원
~ 04/07(목)
(10일 전 등록)"
"10","이젠아카데미","[국비지원 취업]빅데이터·웹앱개발/웹/광고편집/영상/건축
데이터분석가데이터엔지니어백엔드/서버개발앱개발웹개발 외","신입 · 경력
학력무관","교육생
서울전체","입사지원
~ 04/30(토)
(405일 전 등록)"
"11","니트로스튜디오
넥슨그룹","니트로스튜디오 정규직 채용공고
게임개발백엔드/서버개발앱개발웹개발프론트엔드 외","신입 · 경력
학력무관","정규직
서울 강남구","홈페이지 지원
채용시
(222일 전 등록)"
"12","에이치엔아이엔씨","HN (舊현대BS&C 주식회사) [건설부문 / 경영관리부문 / IT부문] 신입/경력 채용공고
기술지원데이터분석가데이터엔지니어백엔드/서버개발앱개발 외","신입 · 경력
학력무관","정규직 · 계약직
서울 중구","입사지원
내일마감
(5일 전 등록)"
